instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
C_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.00390625,0.01171875,-2.8856349124267573,-0.9125178818969072,-0.8,-1.0,-0.4,0.9,-1.5636382819090495
C_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.130859375,0.26171875,-1.5107216853604954,-0.4777321436347417,-0.6,-1.0,0.0,0.8,-0.4966081491810418
D_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.322265625,0.966796875,0.9898128045978632,0.3130062919728432,0.2,-0.4,0.8,0.4,0.3691135458928124
D_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.625,0.625,0.4887764111146695,0.1545646725685195,0.0,-0.6,0.6,0.5,0.2251027549306267
D_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.4921875,0.984375,-0.6868337485747306,-0.2171959019367575,0.0,-0.6,0.6,0.5,0.3226055101970308
D_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.193359375,0.580078125,1.3007052195221016,0.4113191058159149,0.4,-0.2,1.0,0.3,0.5328086108561336
D_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.49609375,0.9921875,-0.6806487851276465,-0.2152400447629903,-0.3,-0.8,0.3,0.6,-0.2657817295169793
D_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.2,-0.4,0.8,0.4,0.0605923656102726
D_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.921875,1.0,-0.098072152488661,-0.0310131376899519,-0.2,-0.8,0.4,0.6,0.0287858325552266
D_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,1.0,1.0,-0.0,-0.0,-0.3,-0.8,0.3,0.6,0.0510203996461703
