instance_id,source_file,source_path,seed,mode,gen,indiv,ATT,TTT,TimeLossSum,Arrivals,Teleports,k_closed,run_dir
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,8,init,15,21,601.7905,1203581.0,878861.8899999995,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed8\g015_i021
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,8,mutation,5,9,596.2455,1192491.0,871442.4799999993,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed8\g005_i009
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,8,none,3,19,602.809,1205618.0,886114.2099999993,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed8\g003_i019
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,9,both,15,21,594.8775,1189755.0,866932.62,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed9\g015_i021
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,9,init,15,22,593.4305,1186861.0,862223.0300000005,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed9\g015_i022
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,9,mutation,9,13,598.9065,1197813.0,875984.1300000004,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed9\g009_i013
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,9,none,9,19,606.4555,1212911.0,889330.1599999993,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed9\g009_i019
D_k9_3od_x1.2,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\seed_best_preview.csv,0,both,12,13,675.7425,1621782.0,1237671.6899999997,2400,,9,D:\PSPS\runs_D_k9_3od_x1.2\both_seed0\g012_i013
D_k9_3od_x1.2,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\seed_best_preview.csv,0,init,8,15,673.1245833333334,1615499.0,1225459.8499999994,2400,,9,D:\PSPS\runs_D_k9_3od_x1.2\init_seed0\g008_i015
D_k9_3od_x1.2,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\seed_best_preview.csv,0,mutation,4,9,671.3633333333333,1611272.0,1223719.3099999984,2400,,9,D:\PSPS\runs_D_k9_3od_x1.2\mutation_seed0\g004_i009
D_k9_3od_x1.2,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\seed_best_preview.csv,0,none,14,6,670.1345833333334,1608323.0,1220052.009999998,2400,,9,D:\PSPS\runs_D_k9_3od_x1.2\none_seed0\g014_i006
D_k9_3od_x1.2,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\seed_best_preview.csv,1,both,11,4,674.2033333333334,1618088.0,1228709.6000000003,2400,,9,D:\PSPS\runs_D_k9_3od_x1.2\both_seed1\g011_i004
