eval,k,score,accepted,best_score,temp,closed_edges,run_dir
122,7,629.396667,1,629.396667,1.7049,"-172251690,-834922892#2,106652010#1,127837502,219797807#0,37651116#0,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0121
123,7,629.396667,1,629.396667,1.6897,"-834922892#2,106652010#1,127837502,219797807#0,240042195#1,37651116#0,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0122
124,8,629.396667,1,629.396667,1.6746,"-834922892#2,106652010#1,127837502,219797807#0,240042195#1,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0123
125,7,629.396667,1,629.396667,1.6596,"-834922892#2,106652010#1,127837502,219797807#0,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0124
126,7,644.456000,0,629.396667,1.6448,"-834922892#2,106652010#1,127837502,219797807#0,37628709#1,37651116#0,4935286#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0125
127,8,629.396667,1,629.396667,1.6301,"-834922892#2,-96687079#3,106652010#1,127837502,219797807#0,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0126
128,8,629.396667,1,629.396667,1.6156,"-834922892#2,-96687079#3,106652010#1,106652011,127837502,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0127
129,9,629.396667,1,629.396667,1.6012,"-834922892#2,-96687079#3,106652010#1,106652011,127837502,37651116#0,4935286#1,58621262#0,678743174",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0128
130,7,629.396667,1,629.396667,1.5727,"-834922892#2,106652010#1,106652011,127837502,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0129
131,7,629.396667,1,629.396667,1.5587,"-37651116#1,-834922892#2,106652010#1,127837502,37651116#0,4935286#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0130
132,7,563.002667,1,563.002667,1.5447,"-37651116#1,-834922892#2,106652010#1,127837502,37651116#0,4935286#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0131
133,7,563.002667,1,563.002667,1.5310,"-37651116#1,-834922892#2,127837502,37651116#0,4935286#3,58621262#0,70018790#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0132
134,6,563.002667,1,563.002667,1.5173,"-834922892#2,127837502,37651116#0,4935286#3,58621262#0,70018790#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0133
135,7,563.002667,1,563.002667,1.5038,"-834922892#2,127837502,219796113#8,37651116#0,4935286#3,58621262#0,70018790#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0134
136,7,486.856000,1,486.856000,1.4903,"-834922892#2,127837502,219796113#8,37651116#0,4935286#3,70018790#0,880140407",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0135
137,6,486.856000,1,486.856000,1.4770,"-834922892#2,219796113#8,37651116#0,4935286#3,70018790#0,880140407",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0136
138,6,486.856000,1,486.856000,1.4638,"-106651997#1,-834922892#2,219796113#8,4935286#3,70018790#0,880140407",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0137
139,5,531.929333,0,486.856000,1.4508,"-106651997#1,-834922892#2,219796113#8,70018790#0,880140407",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0138
140,6,486.856000,1,486.856000,1.4378,"-106651997#1,-834922892#2,219796113#8,4935286#3,880140407,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0139
141,6,518.920667,0,486.856000,1.4250,"-106651997#1,-111677668#4,-834922892#2,219796113#8,880140407,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0140
142,7,486.856000,1,486.856000,1.4123,"-106651997#1,-834922892#2,219796113#8,4935286#3,61902790#1,880140407,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0141
143,6,450.581333,1,450.581333,1.3997,"-106651997#1,-834922892#2,219796113#8,4935286#3,61902790#1,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0142
144,7,450.581333,1,450.581333,1.3872,"-106651997#1,-834922892#2,219796113#8,231819410#2,4935286#3,61902790#1,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0143
145,8,450.581333,1,450.581333,1.3748,"-106651997#1,-834922892#2,219796113#8,231819410#2,240042189,4935286#3,61902790#1,gneE3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0144
146,8,450.581333,1,450.581333,1.3625,"-106651997#1,-834922892#2,106652030#1,219796113#8,231819410#2,240042189,4935286#3,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0145
147,8,583.957333,0,450.581333,1.3504,"-834922892#2,106652030#1,111681903#0,219796113#8,231819410#2,240042189,4935286#3,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0146
148,9,450.581333,1,450.581333,1.3383,"-106651997#1,-834922892#2,106652030#1,219796113#8,231819410#2,240042189,4935286#3,60942914#1,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0147
149,9,450.581333,1,450.581333,1.3264,"-106651997#1,-834922892#2,106652030#1,219796113#8,231819410#2,240042189,4935286#3,61902790#1,814061747#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0148
150,9,450.581333,1,450.581333,1.3145,"-106651997#1,-4877788#6,-834922892#2,219796113#8,231819410#2,240042189,4935286#3,61902790#1,814061747#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0149
151,8,450.581333,1,450.581333,1.3028,"-106651997#1,-4877788#6,-834922892#2,219796113#8,231819410#2,240042189,4935286#3,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0150
152,9,450.581333,1,450.581333,1.2912,"-106651997#1,-4877788#6,-834922892#2,172251695#0,219796113#8,231819410#2,240042189,4935286#3,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0151
153,9,450.581333,1,450.581333,1.2796,"-106651997#1,-4877788#6,-834922892#2,172251695#0,219796113#8,231819410#2,240042189,27267512#0,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0152
154,9,450.581333,1,450.581333,1.2682,"-106651997#1,-220934956,-4877788#6,-834922892#2,219796113#8,231819410#2,240042189,27267512#0,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0153
155,9,450.581333,1,450.581333,1.2569,"-106651997#1,-25142441#3,-4877788#6,-834922892#2,219796113#8,231819410#2,240042189,27267512#0,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0154
156,9,450.581333,1,450.581333,1.2457,"-106651997#1,-25142441#3,-4877788#6,-834922892#2,172251698#1,219796113#8,231819410#2,27267512#0,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0155
157,9,450.581333,1,450.581333,1.2345,"-106651997#1,-25142441#3,-4877788#6,-834922892#2,172251698#1,219796113#8,231819410#2,25142441#4,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0156
158,9,450.581333,1,450.581333,1.2235,"-106651997#1,-37628709#0,-4877788#6,-834922892#2,172251698#1,219796113#8,231819410#2,25142441#4,4935286#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0157
159,9,450.581333,1,450.581333,1.2126,"-106651997#1,-4877788#6,-834922892#2,172251698#1,219796113#8,231819410#2,25142441#4,4935286#3,712622897#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0158
