instance_id,mode,seed,att_multi,att_default
A_k4_3od_x1.0,both,2,254.1574,237.496
A_k4_3od_x1.0,both,3,247.60039999999998,236.189
A_k4_3od_x1.0,both,4,234.0908,224.053
A_k4_3od_x1.0,both,5,240.1832,229.631
A_k4_3od_x1.0,both,6,232.9852,247.213
A_k4_3od_x1.0,both,7,234.0908,224.053
A_k4_3od_x1.0,both,8,236.26619999999997,234.812
A_k4_3od_x1.0,both,9,252.83360000000002,245.017
A_k4_3od_x1.0,init,0,226.9232,223.893
A_k4_3od_x1.0,init,1,236.37759999999997,230.928
A_k4_3od_x1.0,init,2,264.8994,250.921
A_k4_3od_x1.0,init,3,259.2634,241.102
A_k4_3od_x1.0,init,4,262.1794,250.135
A_k4_3od_x1.0,init,5,226.9232,223.893
A_k4_3od_x1.0,init,6,262.75640000000004,244.083
A_k4_3od_x1.0,init,7,242.88539999999998,236.482
A_k4_3od_x1.0,init,8,241.22199999999998,234.275
A_k4_3od_x1.0,init,9,257.8732,242.387
A_k4_3od_x1.0,mutation,0,247.56440000000003,233.371
A_k4_3od_x1.0,mutation,1,236.37759999999997,230.928
A_k4_3od_x1.0,mutation,2,236.37759999999997,230.928
A_k4_3od_x1.0,mutation,3,234.0908,224.053
A_k4_3od_x1.0,mutation,4,249.23780000000002,240.346
A_k4_3od_x1.0,mutation,5,252.0614,231.718
A_k4_3od_x1.0,mutation,6,247.60039999999998,236.189
A_k4_3od_x1.0,mutation,7,254.11939999999998,242.95
A_k4_3od_x1.0,mutation,8,254.506,242.966
A_k4_3od_x1.0,mutation,9,240.1832,229.631
A_k4_3od_x1.0,none,0,270.91880000000003,241.621
A_k4_3od_x1.0,none,1,250.66839999999996,239.198
A_k4_3od_x1.0,none,2,263.0106,237.158
A_k4_3od_x1.0,none,3,240.1832,229.631
A_k4_3od_x1.0,none,4,236.8828,231.076
A_k4_3od_x1.0,none,5,243.9526,240.305
A_k4_3od_x1.0,none,6,252.81459999999998,238.339
A_k4_3od_x1.0,none,7,257.0996,245.028
A_k4_3od_x1.0,none,8,240.1832,229.631
A_k4_3od_x1.0,none,9,247.56440000000003,233.371
A_k4_3od_x1.2,both,0,313.5681666666666,299.43416666666667
A_k4_3od_x1.2,both,1,319.0105,297.1525
A_k4_3od_x1.2,both,2,305.1625,290.00416666666666
A_k4_3od_x1.2,both,3,343.5078333333333,319.53583333333336
A_k4_3od_x1.2,both,4,328.58116666666666,305.1666666666667
A_k4_3od_x1.2,both,5,307.6625,314.36333333333334
A_k4_3od_x1.2,both,6,324.98266666666666,317.7816666666667
A_k4_3od_x1.2,both,7,337.7831666666667,316.49333333333334
A_k4_3od_x1.2,both,8,338.8553333333333,315.73
A_k4_3od_x1.2,both,9,318.05916666666667,295.2025
A_k4_3od_x1.2,init,0,309.556,299.8425
A_k4_3od_x1.2,init,1,343.0323333333333,300.69
A_k4_3od_x1.2,init,2,318.05916666666667,295.2025
A_k4_3od_x1.2,init,3,345.9633333333333,317.1725
A_k4_3od_x1.2,init,4,327.9451666666667,305.7625
A_k4_3od_x1.2,init,5,328.58116666666666,305.1666666666667
A_k4_3od_x1.2,init,6,332.0775,300.4433333333333
A_k4_3od_x1.2,init,7,333.48249999999996,306.03
A_k4_3od_x1.2,init,8,344.7778333333333,323.9658333333333
A_k4_3od_x1.2,init,9,329.1451666666667,308.61833333333334
A_k4_3od_x1.2,mutation,0,308.28616666666665,315.00916666666666
