sample_idx,k,y_dataset_randseed,att_eval_seed
319,3,497.9570007324219,541.3815
320,5,509.3714904785156,515.6655
321,9,490.7514953613281,545.4435
322,4,526.3685302734375,538.6315
323,7,550.2694702148438,585.197
324,2,527.760986328125,531.7745
326,1,518.4929809570312,538.5555
327,8,556.1895141601562,503.6745
328,4,504.0199890136719,538.642
329,4,511.7659912109375,518.552
330,4,498.78900146484375,545.0735
331,7,552.323486328125,509.5345
332,9,524.2235107421875,540.9055
333,4,536.5134887695312,517.6515
335,8,555.3385009765625,543.5885
336,1,526.2515258789062,538.179
337,8,543.7135009765625,603.268
338,2,535.6309814453125,530.218
339,1,511.88800048828125,538.6315
341,5,516.0125122070312,544.3615
342,5,507.4360046386719,516.3915
344,7,526.9459838867188,519.584
345,4,525.1290283203125,531.7745
346,8,536.06298828125,512.3775
347,9,520.9869995117188,525.45
348,4,518.4660034179688,521.413
350,6,533.073486328125,520.08
351,4,523.06298828125,539.37
352,3,533.4860229492188,533.8185
353,7,527.968017578125,523.766
354,6,536.0704956054688,511.0995
355,2,525.573486328125,538.6315
356,1,511.4930114746094,538.6315
357,6,538.7269897460938,524.101
358,5,556.782470703125,533.8395
359,1,534.0059814453125,538.6315
360,6,546.3214721679688,512.2995
361,8,534.3419799804688,503.433
362,3,526.5784912109375,522.2315
363,5,521.7919921875,484.1205
364,7,525.9954833984375,530.257
365,3,495.2434997558594,514.835
366,5,498.5,523.0285
367,9,526.5759887695312,524.852
369,8,531.2694702148438,489.96
370,8,518.2944946289062,538.175
371,4,525.7830200195312,503.0855
373,5,554.8934936523438,534.585
374,9,559.5444946289062,550.361
375,7,532.6925048828125,508.405
376,6,532.85400390625,520.2085
377,6,503.9339904785156,508.8925
378,1,502.0260009765625,538.6315
379,7,530.8364868164062,511.0475
380,8,549.1099853515625,520.0365
381,6,531.677001953125,541.7665
382,7,524.5064697265625,519.107
383,7,535.843505859375,557.213
384,9,517.4530029296875,527.13
385,5,534.43701171875,530.5635
386,1,537.072021484375,538.6315
387,2,537.260498046875,525.7855
388,2,531.4810180664062,541.375
389,3,534.04150390625,543.444
390,9,534.8460083007812,538.092
391,6,530.1624755859375,543.525
393,2,513.8934936523438,522.556
394,3,542.1074829101562,523.5345
395,3,538.3604736328125,519.213
396,5,523.1954956054688,523.5275
397,5,520.1119995117188,489.4005
398,9,539.958984375,538.1855
399,8,526.6339721679688,534.8035
400,7,538.7055053710938,501.1125
401,7,517.8380126953125,535.0485
402,9,527.5955200195312,524.273
403,8,530.5994873046875,526.369
404,7,530.5989990234375,507.674
405,5,532.5704956054688,533.2185
406,7,532.5054931640625,505.87
407,4,484.10150146484375,518.7355
409,8,514.489501953125,492.7575
410,3,514.20947265625,513.147
411,5,497.4725036621094,527.253
412,3,539.8775024414062,511.664
413,3,519.9819946289062,527.8085
414,2,545.5355224609375,538.6315
415,4,553.5745239257812,536.198
416,5,513.33251953125,529.071
417,1,500.1025085449219,541.375
418,3,510.43499755859375,538.516
419,6,549.4365234375,546.683
420,4,553.5560302734375,504.8265
421,4,514.6099853515625,534.4515
422,5,533.1215209960938,534.2805
423,9,535.45849609375,515.0865
424,5,522.2474975585938,522.934
425,1,526.8889770507812,543.2205
426,1,507.0994873046875,538.5555
427,2,539.8905029296875,538.179
428,1,529.4600219726562,526.824
429,5,518.2080078125,520.3415
430,2,507.3955078125,541.375
431,2,540.1945190429688,499.921
432,4,532.2214965820312,535.946
433,5,530.0659790039062,520.466
434,8,535.1724853515625,522.782
435,5,520.625,543.6595
436,6,513.6585083007812,517.6535
437,6,518.634521484375,543.93
438,4,548.9550170898438,497.951
439,4,568.8515014648438,540.756
440,8,523.7479858398438,515.7815
441,8,547.301513671875,520.6885
442,6,535.7239990234375,540.6425
443,4,533.3309936523438,531.013
444,8,527.4920043945312,570.1825
445,9,531.9744873046875,522.785
446,8,515.969970703125,530.434
447,8,536.468994140625,507.356
448,8,514.4724731445312,523.0265
449,3,505.4725036621094,538.6315
450,9,543.573486328125,545.255
451,1,533.4545288085938,538.5555
454,7,495.13800048828125,511.558
455,1,497.80499267578125,523.1005
456,6,504.3890075683594,507.5215
457,4,520.95751953125,522.219
458,7,517.6489868164062,510.3715
459,4,551.3519897460938,524.7405
460,9,529.5574951171875,489.516
461,5,508.73199462890625,524.5995
463,4,519.1275024414062,527.8085
464,9,537.3994750976562,530.0215
465,8,520.8460083007812,534.3325
467,6,538.9609985351562,520.6825
468,9,523.4669799804688,543.997
469,6,542.9559936523438,535.2375
470,5,540.9854736328125,506.1015
471,7,535.4819946289062,534.437
472,7,501.2294921875,494.724
473,2,516.6719970703125,525.4695
474,8,533.8699951171875,549.44
475,4,540.9110107421875,536.2815
476,9,565.7265014648438,523.39
477,1,524.4429931640625,538.6315
478,5,508.1684875488281,498.489
479,1,500.135498046875,524.375
480,8,543.3870239257812,524.3215
481,7,523.2479858398438,527.4965
482,2,530.0964965820312,514.835
483,6,537.427001953125,545.4445
484,3,534.9439697265625,535.4825
485,8,530.6259765625,522.934
486,5,534.3980102539062,536.4625
487,4,540.302978515625,533.303
488,2,512.79052734375,538.6315
489,9,526.490478515625,503.859
491,8,526.5805053710938,554.934
492,4,547.4454956054688,530.719
493,5,507.3900146484375,518.552
494,3,505.37200927734375,538.5555
495,7,528.0275268554688,514.7895
496,4,508.34600830078125,533.9925
497,5,515.0390014648438,533.3695
498,9,505.697509765625,540.9395
499,3,514.8590087890625,527.8085
500,5,503.1105041503906,497.018
501,8,531.5125122070312,536.8285
502,2,520.572021484375,530.3075
503,2,509.96551513671875,525.858
504,3,547.8200073242188,539.4405
505,2,517.64599609375,538.6315
506,4,510.1965026855469,526.562
507,3,520.4765014648438,531.069
508,4,501.20849609375,538.6315
509,6,494.16900634765625,521.734
510,2,521.4299926757812,535.722
512,1,510.15899658203125,538.6315
513,7,518.4824829101562,485.9425
514,1,509.45098876953125,538.6315
515,7,516.8839721679688,505.5175
516,7,501.07501220703125,521.0505
517,1,497.3275146484375,538.6315
518,6,530.8489990234375,504.241
519,3,524.135986328125,503.0
520,8,534.2319946289062,523.9845
521,3,526.2785034179688,536.1285
522,2,517.759521484375,518.552
523,7,520.6295166015625,524.532
524,7,531.6530151367188,533.2005
525,6,551.6489868164062,520.8535
526,6,528.1915283203125,542.316
527,7,519.1199951171875,536.708
528,4,521.0289916992188,520.3175
529,7,515.7750244140625,530.328
531,2,506.6925048828125,522.934
532,2,511.8919982910156,499.921
533,5,522.1710205078125,539.327
534,7,530.1884765625,530.306
535,7,523.135009765625,521.4705
536,6,513.5380249023438,513.551
537,6,538.8809814453125,540.5525
538,5,512.8330078125,546.128
539,8,519.7014770507812,525.916
540,9,508.8324890136719,505.554
541,5,494.9289855957031,518.3885
542,9,523.3159790039062,504.597
543,7,538.3165283203125,505.858
544,2,510.01800537109375,528.4305
545,5,539.4390258789062,524.6505
546,6,528.0139770507812,519.748
