sample_idx,k,y_dataset_randseed,att_eval_seed
460,9,616.8006591796875,573.8233333333334
461,5,558.4313354492188,644.456
463,4,677.5146484375,644.456
464,9,619.6339721679688,644.456
465,8,628.5139770507812,633.4666666666667
467,6,603.47802734375,644.456
468,9,578.7273559570312,644.456
469,6,594.77001953125,644.456
470,5,646.0560302734375,598.9273333333333
471,7,591.4600219726562,644.456
472,7,600.489990234375,644.456
473,2,617.6599731445312,644.456
474,8,616.3626708984375,644.456
475,4,632.9786376953125,644.456
476,9,587.3426513671875,644.456
477,1,619.3346557617188,644.456
478,5,563.8579711914062,644.456
479,1,627.22998046875,644.456
480,8,610.2266845703125,644.456
481,7,654.5466918945312,644.456
482,2,650.9473266601562,644.456
483,6,685.017333984375,688.5826666666667
484,3,559.995361328125,644.456
485,8,636.210693359375,644.456
486,5,650.853515625,1000000000000.0
487,4,614.8346557617188,644.456
488,2,608.9513549804688,644.456
489,9,627.7340087890625,600.406
491,8,590.663330078125,644.456
492,4,623.3666381835938,598.6233333333333
493,5,618.193359375,644.456
494,3,716.52734375,644.456
495,7,620.2186889648438,644.456
496,4,630.1920166015625,644.456
497,5,619.1300048828125,644.456
498,9,691.388671875,643.4466666666667
499,3,628.5286865234375,644.456
500,5,624.7146606445312,576.9213333333333
501,8,590.0846557617188,596.504
502,2,630.8419799804688,644.456
503,2,596.6953125,644.456
504,3,611.858642578125,644.456
505,2,617.316650390625,644.456
506,4,621.7493286132812,644.456
507,3,624.8853149414062,644.456
508,4,594.2706909179688,644.456
509,6,624.3331298828125,644.456
510,2,620.4566650390625,644.456
512,1,602.2866821289062,644.456
513,7,630.0993041992188,644.456
514,1,621.3206787109375,644.456
515,7,597.4586791992188,644.456
516,7,600.7266845703125,644.456
517,1,659.7193603515625,644.456
518,6,633.252685546875,644.456
519,3,614.7000122070312,644.456
520,8,608.2333374023438,644.456
521,3,594.3400268554688,644.456
522,2,584.8519897460938,644.456
523,7,611.5700073242188,644.456
524,7,595.7860107421875,644.456
525,6,561.927978515625,644.456
526,6,648.6166381835938,605.2513333333334
527,7,571.9993286132812,643.9946666666667
528,4,606.6240234375,644.456
529,7,605.9299926757812,644.456
531,2,619.2466430664062,644.456
532,2,614.4673461914062,644.456
533,5,602.68798828125,644.456
534,7,570.7646484375,644.456
535,7,625.5339965820312,644.456
536,6,616.34130859375,644.456
537,6,624.2366943359375,603.584
538,5,586.7340087890625,593.5686666666667
539,8,612.6126708984375,644.456
540,9,566.9286499023438,644.456
541,5,627.3980102539062,644.456
542,9,628.8973388671875,644.456
543,7,658.0453491210938,619.6933333333334
544,2,601.3593139648438,644.456
545,5,628.3900146484375,644.456
546,6,450.302001953125,463.314
547,9,669.098876953125,8434.825333333334
549,6,601.462646484375,576.9213333333333
550,7,768.8740234375,748.2326666666667
551,2,617.0693359375,644.456
552,7,717.8846435546875,685.1153333333333
553,6,641.5599975585938,644.456
554,3,642.732666015625,614.2046666666666
555,3,606.8773193359375,644.456
556,9,559.2013549804688,571.3913333333334
557,5,570.7613525390625,644.456
558,3,636.3073120117188,636.0806666666666
559,9,682.0153198242188,692.5733333333334
560,9,587.1713256835938,644.456
561,1,579.8486938476562,583.4486666666667
562,5,639.4113159179688,644.456
563,4,623.316650390625,644.456
564,8,611.83935546875,644.456
565,9,581.1799926757812,633.4666666666667
566,1,606.06201171875,644.456
567,9,619.47998046875,644.456
568,4,605.556640625,644.456
569,9,561.9326782226562,644.456
570,9,602.3246459960938,644.456
571,7,594.9713134765625,644.456
572,8,641.0653076171875,2192.349333333333
574,8,614.1946411132812,644.456
575,8,670.2219848632812,650.6946666666666
576,2,620.7659912109375,644.456
577,6,743.8660278320312,647.6206666666667
578,6,576.4846801757812,644.456
579,3,614.1519775390625,644.456
580,3,621.8499755859375,644.456
581,5,602.7853393554688,624.5933333333334
582,9,628.323974609375,644.456
583,3,629.9493408203125,576.9213333333333
584,8,650.6740112304688,622.5486666666667
585,1,596.1519775390625,617.06
586,2,604.9066772460938,644.456
587,7,600.1693115234375,644.456
588,5,614.739990234375,644.456
589,2,615.6420288085938,644.456
590,9,587.6420288085938,640.8866666666667
591,7,612.8346557617188,644.456
592,4,573.245361328125,644.456
594,3,571.85400390625,644.456
596,4,716.1773071289062,644.456
597,9,641.8353271484375,598.4326666666667
598,1,518.5626831054688,644.456
599,6,671.4366455078125,727.614
600,8,601.289306640625,644.456
602,9,576.4393310546875,644.456
603,7,525.4393310546875,594.3046666666667
604,8,597.601318359375,644.456
605,7,599.0626831054688,644.456
607,4,603.9420166015625,644.456
608,9,462.4939880371094,531.9293333333334
609,8,642.5999755859375,644.456
610,7,918.861328125,998.6093333333333
611,9,626.2540283203125,644.456
612,4,648.5826416015625,644.456
613,6,686.7739868164062,644.9866666666667
614,8,591.611328125,644.456
616,7,622.9439697265625,596.504
617,9,631.8026733398438,644.456
618,2,579.7386474609375,644.456
619,1,578.3853149414062,644.456
620,4,600.5153198242188,644.456
621,5,643.02734375,644.456
622,3,601.9353637695312,644.456
623,1,600.3353271484375,644.456
624,3,594.5800170898438,644.456
626,5,625.969970703125,644.456
627,2,652.29736328125,644.456
628,6,633.0040283203125,644.456
629,6,666.8133544921875,685.1153333333333
630,6,622.9979858398438,644.456
631,4,630.7139892578125,644.456
632,1,593.606689453125,644.456
633,9,617.3426513671875,644.456
634,6,645.322021484375,598.9273333333333
635,6,686.4073486328125,749.8073333333333
636,6,606.893310546875,644.456
637,9,619.97998046875,644.456
638,2,620.8839721679688,644.456
639,9,635.760009765625,631.7926666666667
641,5,681.75,644.456
642,2,624.9806518554688,644.456
643,6,639.2886962890625,656.9013333333334
644,3,531.0906372070312,531.9293333333334
645,5,670.2713623046875,680.2906666666667
646,3,667.447998046875,654.844
647,6,667.5460205078125,632.236
648,4,610.9573364257812,644.456
649,6,577.45263671875,644.456
650,1,567.6106567382812,644.456
651,4,730.7066650390625,650.6946666666666
652,9,633.0579833984375,598.9273333333333
653,9,643.3699951171875,644.456
654,5,569.8313598632812,644.456
655,9,530.4639892578125,644.456
656,3,597.9853515625,644.456
657,3,597.7913208007812,644.456
658,1,620.7766723632812,644.456
659,8,622.7251586914062,8979.93
660,7,593.1920166015625,644.456
662,9,613.5033569335938,644.456
663,9,632.5873413085938,644.456
664,7,593.2593383789062,644.456
665,3,615.111328125,644.456
666,5,637.926025390625,644.456
667,9,626.9093627929688,644.456
669,8,604.9879760742188,644.456
