instance_id,arm,seed,sol_id,att_default,k,source,closed
J_k9_6od_x1.0,sa,3,S013,338.067333,7,sa_seed3,-240042189 -876343448#0 474166985#6 4935286#2 4992725 712622895 794283075
J_k9_6od_x1.0,sa,4,S014,411.337333,5,sa_seed4,-311298685 172251698#3 478100150 828203038#2 880140407
J_k9_6od_x1.0,sa,5,S015,372.522667,8,sa_seed5,-219796102#0 -219797798#1 -24337240#7 -274763813#3 -4877788#1 -803012921#0 37627664#5 4935286#2
J_k9_6od_x1.0,sa,6,S016,536.726667,7,sa_seed6,-4911109#1 -4992725 106651998#1 106652007#0 36847354#5 5057604 835445203
J_k9_6od_x1.0,sa,7,S017,613.496667,7,sa_seed7,-172249927 172251698#2 219797783#1 37649100#0 478100148 61902825 782714971#1
J_k9_6od_x1.0,sa,8,S018,586.503333,7,sa_seed8,-120682114#1 -37551339#0 -5197061#1 -782714966#1 280335871 498033359#3 760785104#2
J_k9_6od_x1.0,sa,9,S019,370.126667,9,sa_seed9,-106652024 -172251699#2 -27267512#3 -410942714#1 -535519490#1 -876343452#1 219796123#0 4894997#0 4950117#1
J_k9_6od_x1.0,surrogate_submitted,0,S020,605.251333,9,surrogate_seed0,-172251699#1 -4929432#1 -4929432#2 -678743174 -876343449#0 255228349#1 41766849#1 4970256#5 6074658#1
J_k9_6od_x1.0,surrogate_submitted,1,S021,626.228667,9,surrogate_seed1,-36851802 219822390 240042196#2 248740648#1 25143145#0 26216781#0 5236305#0 6263818#0 62826731
J_k9_6od_x1.0,surrogate_submitted,2,S022,643.504,9,surrogate_seed2,-106652015 -219796106#1 -4894992#0 106651993 111677669#0 172251697#1 248740648#1 255228349#1 4929432#2
J_k9_6od_x1.0,surrogate_submitted,3,S023,626.228667,9,surrogate_seed3,-311298658 -465885893#0 -4911109#1 -4970255#2 -876343449#1 -96687079#0 153134060#1 248740648#1 26216781#0
J_k9_6od_x1.0,surrogate_submitted,4,S024,531.929333,9,surrogate_seed4,-106651999#0 -172251698#3 -96687079#2 248740648#1 36974893 474168056#2 5197064#2 835443463#0 880140407
J_k9_6od_x1.0,surrogate_submitted,5,S025,605.251333,9,surrogate_seed5,120682116#4 120682116#9 248740648#1 25072975#0 280335872 37628709#1 478100148 4970256#5 69421990#3
J_k9_6od_x1.0,surrogate_submitted,6,S026,607.762,9,surrogate_seed6,-120682114#2 -4970254#3 -828195561#0 -876343452#3 248740648#1 36851877#1 37551447 760785104#1 7924760#3
J_k9_6od_x1.0,surrogate_submitted,7,S027,359.099333,9,surrogate_seed7,-219822390 -240042195#0 -498033359#2 -5197064#3 -782714971#2 248740648#1 4911107#0 4935286#2 7924772
J_k9_6od_x1.0,surrogate_submitted,8,S028,636.414,9,surrogate_seed8,-24337240#4 -4895001#0 -4935286#0 -7924760#0 106652009#2 219822415#1 248740648#1 7924763 96687079#1
J_k9_6od_x1.0,surrogate_submitted,9,S029,604.136667,9,surrogate_seed9,-410942714#0 -5197061#1 -834922892#1 -835445203 106651993 111681905#0 219796130#1 248740648#1 36852290
J_k9_6od_x1.0,surrogate_repaired,0,S030,594.3046666666667,9,arm_J_sum_run/s0_r05 (re-run),-220934942 -876343452#7 131942152 274763814#0 37627664#3 4970256#7 5197061#1 6074658#3 61902751#1
J_k9_6od_x1.0,surrogate_repaired,1,S031,608.4013333333334,9,arm_J_sum_run/s1_r06 (re-run),-106651993 -4929432#1 -782714971#4 -880137009#0 219796104#2 410942714#1 474168602#2 6074658#3 7924755
J_k9_6od_x1.0,surrogate_repaired,2,S032,635.108,9,arm_J_sum_run/s2_r03 (re-run),-28298231 -4894992#3 172249931#3 36852266#1 5197064#1 6074658#3 61902746#0 813586707#0 814061747#5
J_k9_6od_x1.0,surrogate_repaired,3,S033,601.6666666666666,9,arm_J_sum_run/s3_r02 (re-run),-106652013#0 -876343451#2 25142441#4 274763814#0 36974893 474166985#3 4894992#2 6074658#3 782714971#2
J_k9_6od_x1.0,surrogate_repaired,4,S034,629.7613333333334,9,arm_J_sum_run/s4_r00 (re-run),-172251694#1 -4970256#3 -502361003 -712622899#1 -774894964 219822417#0 4970256#8 6074658#3 831160282
J_k9_6od_x1.0,surrogate_repaired,5,S035,602.0886666666667,9,arm_J_sum_run/s5_r08 (re-run),-172251689 -835443464 219796113#2 410947640#0 465886917#0 474168602#1 5197062#2 6074658#3 882243017
J_k9_6od_x1.0,surrogate_repaired,6,S036,627.456,9,arm_J_sum_run/s6_r06 (re-run),-37551339#1 -782714971#2 120682116#6 220934942 37551339#0 474166985#4 4894997#0 4929432#2 6074658#3
J_k9_6od_x1.0,surrogate_repaired,7,S037,605.2513333333334,9,arm_J_sum_run/s7_r00 (re-run),-111677668#0 -37627664#4 -712622896 172251697#2 219796118#0 4970256#5 6074658#3 61902825 876057378#5
J_k9_6od_x1.0,surrogate_repaired,8,S038,531.9293333333334,9,arm_J_sum_run/s8_r06 (re-run),-106651991#0 -124266855#2 -172249930#0 26947645#0 36971780 410942714#0 6074658#3 6263816#1 880140407
J_k9_6od_x1.0,surrogate_repaired,9,S039,427.40066666666667,9,arm_J_sum_run/s9_r08 (re-run),-106651991#0 -172251697#1 -311298685 -782714971#1 -876112258 127837502 220934942 4935286#2 6074658#3
J_k9_6od_x1.0,no_closure,0,S040,,0,empty set,
