instance_id,sol_id,sumo_seed,att
B_k9_3od_x1.0,S027,205,483.287
B_k9_3od_x1.0,S028,201,499.9285
B_k9_3od_x1.0,S028,203,499.336
B_k9_3od_x1.0,S028,202,507.291
B_k9_3od_x1.0,S028,204,516.7385
B_k9_3od_x1.0,S028,205,488.476
B_k9_3od_x1.0,S029,201,522.9695
B_k9_3od_x1.0,S029,202,531.0265
B_k9_3od_x1.0,S030,201,481.868
B_k9_3od_x1.0,S029,203,554.57
B_k9_3od_x1.0,S029,205,531.2285
B_k9_3od_x1.0,S029,204,541.369
B_k9_3od_x1.0,S030,203,464.5795
B_k9_3od_x1.0,S030,202,502.721
B_k9_3od_x1.0,S030,204,493.339
B_k9_3od_x1.0,S030,205,478.374
B_k9_3od_x1.0,S031,201,478.972
B_k9_3od_x1.0,S031,202,488.7015
B_k9_3od_x1.0,S031,203,479.888
B_k9_3od_x1.0,S031,204,487.6525
B_k9_3od_x1.0,S031,205,493.434
B_k9_3od_x1.0,S032,201,515.2475
B_k9_3od_x1.0,S032,202,508.6615
B_k9_3od_x1.0,S032,203,507.583
B_k9_3od_x1.0,S032,204,512.4365
B_k9_3od_x1.0,S032,205,486.2565
B_k9_3od_x1.0,S033,201,507.0345
B_k9_3od_x1.0,S033,202,503.705
B_k9_3od_x1.0,S033,203,504.8325
B_k9_3od_x1.0,S033,204,483.1745
B_k9_3od_x1.0,S033,205,484.122
B_k9_3od_x1.0,S034,201,515.438
B_k9_3od_x1.0,S034,202,480.641
B_k9_3od_x1.0,S034,203,502.8015
B_k9_3od_x1.0,S034,204,497.765
B_k9_3od_x1.0,S034,205,493.8605
B_k9_3od_x1.0,S035,201,490.4005
B_k9_3od_x1.0,S035,202,494.02
B_k9_3od_x1.0,S035,203,500.9065
B_k9_3od_x1.0,S035,204,491.4745
B_k9_3od_x1.0,S035,205,482.621
B_k9_3od_x1.0,S036,201,472.187
B_k9_3od_x1.0,S036,202,464.7605
B_k9_3od_x1.0,S036,203,472.1605
B_k9_3od_x1.0,S036,205,480.8335
B_k9_3od_x1.0,S036,204,502.316
B_k9_3od_x1.0,S037,201,481.775
B_k9_3od_x1.0,S037,202,486.011
B_k9_3od_x1.0,S037,203,476.208
B_k9_3od_x1.0,S037,204,492.858
B_k9_3od_x1.0,S037,205,491.02
B_k9_3od_x1.0,S038,201,484.05
B_k9_3od_x1.0,S038,203,465.2145
B_k9_3od_x1.0,S038,202,527.903
B_k9_3od_x1.0,S038,204,483.272
B_k9_3od_x1.0,S038,205,472.7085
B_k9_3od_x1.0,S039,201,508.8045
B_k9_3od_x1.0,S039,202,501.4885
B_k9_3od_x1.0,S039,204,512.8485
B_k9_3od_x1.0,S039,203,506.2495
B_k9_3od_x1.0,S039,205,496.09
B_k9_3od_x1.0,S040,201,520.57
B_k9_3od_x1.0,S040,202,544.666
B_k9_3od_x1.0,S040,203,518.6815
B_k9_3od_x1.0,S040,205,517.6515
B_k9_3od_x1.0,S040,204,543.36
J_k9_6od_x1.0,S000,202,364.77666666666664
J_k9_6od_x1.0,S000,201,386.28866666666664
J_k9_6od_x1.0,S000,203,391.512
J_k9_6od_x1.0,S001,201,347.38
J_k9_6od_x1.0,S000,204,392.64666666666665
J_k9_6od_x1.0,S001,202,347.60133333333334
J_k9_6od_x1.0,S000,205,367.2873333333333
J_k9_6od_x1.0,S001,203,374.89866666666666
J_k9_6od_x1.0,S001,204,361.94866666666667
J_k9_6od_x1.0,S001,205,343.8233333333333
J_k9_6od_x1.0,S002,201,352.71
J_k9_6od_x1.0,S002,203,349.498
J_k9_6od_x1.0,S002,202,360.53333333333336
J_k9_6od_x1.0,S002,205,348.0806666666667
J_k9_6od_x1.0,S002,204,365.33
J_k9_6od_x1.0,S003,201,374.3553333333333
J_k9_6od_x1.0,S003,202,358.7486666666667
J_k9_6od_x1.0,S003,203,383.506
J_k9_6od_x1.0,S003,205,356.23133333333334
J_k9_6od_x1.0,S003,204,375.114
J_k9_6od_x1.0,S004,201,357.44466666666665
J_k9_6od_x1.0,S004,203,355.3826666666667
J_k9_6od_x1.0,S004,204,351.34066666666666
J_k9_6od_x1.0,S004,202,434.672
J_k9_6od_x1.0,S004,205,350.616
J_k9_6od_x1.0,S005,201,354.74466666666666
J_k9_6od_x1.0,S005,203,370.596
J_k9_6od_x1.0,S005,202,403.6693333333333
J_k9_6od_x1.0,S005,204,380.4626666666667
J_k9_6od_x1.0,S005,205,374.98533333333336
J_k9_6od_x1.0,S006,201,387.14933333333335
J_k9_6od_x1.0,S006,202,356.93333333333334
J_k9_6od_x1.0,S006,203,366.8433333333333
J_k9_6od_x1.0,S006,204,361.9653333333333
