instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_1od_x0.8,none,8,S0004,229.2975,205,243.61625
A_k4_1od_x0.8,none,9,S0005,227.80625,201,227.00875
A_k4_1od_x0.8,none,9,S0005,227.80625,202,225.66875
A_k4_1od_x0.8,none,9,S0005,227.80625,203,236.15625
A_k4_1od_x0.8,none,9,S0005,227.80625,204,231.01125
A_k4_1od_x0.8,none,9,S0005,227.80625,205,228.5825
A_k4_1od_x1.0,both,0,S0024,258.046,201,260.873
A_k4_1od_x1.0,both,0,S0024,258.046,202,259.856
A_k4_1od_x1.0,both,0,S0024,258.046,203,256.152
A_k4_1od_x1.0,both,0,S0024,258.046,204,270.642
A_k4_1od_x1.0,both,0,S0024,258.046,205,247.3
A_k4_1od_x1.0,both,1,S0014,273.261,201,263.681
A_k4_1od_x1.0,both,1,S0014,273.261,202,282.787
A_k4_1od_x1.0,both,1,S0014,273.261,203,279.664
A_k4_1od_x1.0,both,1,S0014,273.261,204,285.074
A_k4_1od_x1.0,both,1,S0014,273.261,205,284.565
A_k4_1od_x1.0,both,2,S0029,266.637,201,282.688
A_k4_1od_x1.0,both,2,S0029,266.637,202,275.078
A_k4_1od_x1.0,both,2,S0029,266.637,203,268.474
A_k4_1od_x1.0,both,2,S0029,266.637,204,279.174
A_k4_1od_x1.0,both,2,S0029,266.637,205,270.561
A_k4_1od_x1.0,both,3,S0019,267.196,201,286.125
A_k4_1od_x1.0,both,3,S0019,267.196,202,289.727
A_k4_1od_x1.0,both,3,S0019,267.196,203,278.308
A_k4_1od_x1.0,both,3,S0019,267.196,204,282.557
A_k4_1od_x1.0,both,3,S0019,267.196,205,286.731
A_k4_1od_x1.0,both,4,S0016,274.341,201,273.448
A_k4_1od_x1.0,both,4,S0016,274.341,202,272.112
A_k4_1od_x1.0,both,4,S0016,274.341,203,273.914
A_k4_1od_x1.0,both,4,S0016,274.341,204,270.125
A_k4_1od_x1.0,both,4,S0016,274.341,205,263.964
A_k4_1od_x1.0,both,5,S0024,258.046,201,260.873
A_k4_1od_x1.0,both,5,S0024,258.046,202,259.856
A_k4_1od_x1.0,both,5,S0024,258.046,203,256.152
A_k4_1od_x1.0,both,5,S0024,258.046,204,270.642
A_k4_1od_x1.0,both,5,S0024,258.046,205,247.3
A_k4_1od_x1.0,both,6,S0022,270.478,201,306.514
A_k4_1od_x1.0,both,6,S0022,270.478,202,280.803
A_k4_1od_x1.0,both,6,S0022,270.478,203,296.769
A_k4_1od_x1.0,both,6,S0022,270.478,204,285.812
A_k4_1od_x1.0,both,6,S0022,270.478,205,283.422
A_k4_1od_x1.0,both,7,S0028,252.58,201,261.386
A_k4_1od_x1.0,both,7,S0028,252.58,202,238.099
A_k4_1od_x1.0,both,7,S0028,252.58,203,255.752
A_k4_1od_x1.0,both,7,S0028,252.58,204,280.889
A_k4_1od_x1.0,both,7,S0028,252.58,205,260.981
A_k4_1od_x1.0,both,8,S0003,261.567,201,264.494
A_k4_1od_x1.0,both,8,S0003,261.567,202,270.743
A_k4_1od_x1.0,both,8,S0003,261.567,203,269.151
A_k4_1od_x1.0,both,8,S0003,261.567,204,258.355
A_k4_1od_x1.0,both,8,S0003,261.567,205,277.911
A_k4_1od_x1.0,both,9,S0021,266.551,201,255.514
A_k4_1od_x1.0,both,9,S0021,266.551,202,262.003
A_k4_1od_x1.0,both,9,S0021,266.551,203,267.999
A_k4_1od_x1.0,both,9,S0021,266.551,204,265.548
A_k4_1od_x1.0,both,9,S0021,266.551,205,261.675
A_k4_1od_x1.0,init,0,S0024,258.046,201,260.873
A_k4_1od_x1.0,init,0,S0024,258.046,202,259.856
A_k4_1od_x1.0,init,0,S0024,258.046,203,256.152
